Copies,Attack,Defence,Faction,Name,Traits,Action,Tags,Designer,CardNumber
1,1,2,Goblins,Orc Shaman,<strong>On Recruit:</strong> Put a +1/+1 counter on any unit (can be this) in any Lane.,,,Brendan Head,2-11
10,0,2,Undead,Zombie,,,Starting,Brendan Head,3-1
2,0,1,Undead,Necromancer,<em>- Raise the Dead! -</em><br><strong>On Recruit:</strong> Place the top card from your discard pile into this Lane (Place 1 Zombie instead if your discard pile is empty).,,,Brendan Head,3-2
1,1,2,Undead,Lord of the Undead,<strong>On Recruit:</strong> Place 1 Zombie in another Lane.<br><br><strong>On Death:</strong> Place 1 Zombie in another Lane.,,,Brendan Head,3-3
1,3,3,Undead,Death Hound,{attacksFirst:Attacks First.}<br> <strong>After Attacking:</strong> This takes 1 damage.,,,Brendan Head,3-4
1,2,1,Undead,Runner,{attacksFirst:Attacks First.}<br> <strong>On Recruit:</strong> Attacks this turn.,,,Brendan Head,3-5
2,0,2,Undead,Shambler,<strong>On Recruit:</strong> Gains two +1/+1 counters.,,,Brendan Head,3-6
2,2,3,Undead,Grave Digger,<strong>On Recruit:</strong> Look at the top card of your deck. You may discard it.,,,Brendan Head,3-7
2,1,2,Undead,Spore Spreader,{attacksLast:Attacks Last.}<br> Attacks all Lanes.,,,Brendan Head,3-8
1,0,1,Undead,Zombie Mite,<strong>On Death:</strong> Place top card of opponent's discard pile into this Lane (Place 1 Zombie instead if opponent's discard pile is empty).,,,Brendan Head,3-9
1,0,1,Undead,Living Corpse,<strong>On Death:</strong> Choose up to 2 other friendly units in any Lanes. Put a +1/+1 counter on each.,,,Brendan Head,3-10
2,0,0,Undead,Summon Horde,{action:Action}<br> Deal 1 targeted damage to a unit in each Lane (cannot target units that were played or recruited this turn).,Action,,Brendan Head,3-11
1,0,2,Undead,Vampire,<em>- I Want Your Blood! -</em><br><strong>On Recruit:</strong> Gain 2 HP and opponent loses 2 HP.,,,Brendan Head,3-12
4,0,2,Wizards,Apprentice,,,Starting,Brendan Head,4-1
1,2,1,Wizards,The Elder,<strong>On Recruit:</strong> Place an Apprentice in any Lane.,,,Brendan Head,4-2
1,2,2,Wizards,Magus,<strong>End of Turn:</strong> May move an enemy unit in any Lane into a different Lane.,,,Brendan Head,4-3
1,2,2,Wizards,Acolyte,<strong>End of Turn:</strong> May move any other friendly unit in any Lane into a different Lane.,,,Brendan Head,4-4
1,1,1,Wizards,Witch,"{attacksLast:Attacks Last.}<br> Attacks any Lane.<br><strong>On Recruit:</strong> Attacks this turn.<br><strong>End of Turn:</strong> If this was played this turn, it gains a +1/+1 counter.",,,,4-5
1,2,1,Wizards,Spellslinger,Attacks any Lane.,,,Brendan Head,4-6
2,3,1,Wizards,Sorcerer,{attacksLast:Attacks Last.}<br>,,,,4-7
2,1,3,Wizards,Warlock,<strong>On Recruit:</strong> Gains a +1/+1 counter.,,,Brendan Head,4-8
2,0,2,Wizards,Alchemist,"<strong>End of Turn:</strong> If this was played this turn, choose up to 2 friendly units that are not in this Lane. Put a +1/+1 counter on each.",,,Brendan Head,4-9
1,1,2,Wizards,Planeshifter,<strong>On Recruit:</strong> Opponent loses 2 HP.,,,Brendan Head,4-10
1,2,1,Wizards,Vortex Lord,This only ever attacks normally when you play another card into this Lane.,,,Brendan Head,4-11
1,2,2,Wizards,Frost Mage,<em>- Freeze! -</em><br><strong>On Recruit:</strong> This Lane takes no damage this turn.,,,Brendan Head,4-12
2,0,0,Wizards,Fireball,{action:Action}<br> Deal 2 targeted damage to an enemy unit in this Lane.<br>Deal 1 damage to each other enemy unit in this Lane.,Action,,Brendan Head,4-13
6,0,2,Knights,Peasant,,,Starting,Oscar Katz,5-1
1,0,1,Knights,"Sir Dramen, the Teacher","When a friendly unit is placed in this Lane, place a +1/+1 counter on it.",,,Oscar Katz,5-2
1,0,4,Knights,Squire of Gawain,<strong>On Recruit:</strong> This Lane takes no damage this turn.,,,Oscar Katz,5-3
1,1,3,Knights,"Sir Hubert, the Cowardly",{attacksLast:Attacks Last.}<br> Gains +3 Attack Power when attacking an empty Lane. ,,,Oscar Katz,5-4
1,1,1,Knights,"Sir Tane, the Diplomat",<strong>On Recruit:</strong> This turn no <strong>regular</strong> attacks occur for either player.,,,Oscar Katz,5-5
1,1,1,Knights,"Sir Tarmon, the Martyr",<strong>On Death:</strong> Place 2 Peasants in this Lane.,,,Oscar Katz,5-6
1,1,2,Knights,"Sir Vernon, the Treacherous","{attacksLast:Attacks Last.}<br> When this attacks, instead of dealing damage, you may destroy any enemy unit in this Lane.",,,Oscar Katz,5-7
1,1,1,Knights,Squire of Fontaine,<strong>On Recruit:</strong> Return an enemy unit in this Lane to its owner's hand.,,,Oscar Katz,5-8
1,1,2,Knights,Squire of Smee,<strong>On Recruit:</strong> Place a +1/+1 counter on any other friendly unit in any Lane.,,,Oscar Katz,5-9
1,1,1,Knights,Squire of Tane,<strong>On Recruit:</strong> Deal up to 2 damage spread how you choose among enemy units in this Lane.,,,Oscar Katz,5-10
1,1,2,Knights,Squire of Vernon,"{attacksFirst:Attacks First.}<br> When this unit attacks, one other friendly unit in any Lane attacks immediately. It may not attack again this turn.",,,Oscar Katz,5-11
1,2,2,Knights,"Sir Smee, the Skilled","When you place any number of +1/+1 counters on this unit, place 1 more.",,,Oscar Katz,5-12
1,2,1,Knights,Squire of Dramen,<strong>On Recruit:</strong> Place a Peasant in this Lane.,,,Oscar Katz,5-13
1,2,1,Knights,Squire of Hubert,"After this attacks, move an enemy unit in the Lane it attacked to a different Lane.",,,Oscar Katz,5-14
1,2,2,Knights,Squire of Robilus,"<strong>On Recruit:</strong> You may sacrifice a Peasant in any Lane. If you do, place a +1/+1 counter on any unit in any Lane.",,,Oscar Katz,5-15
1,2,2,Knights,Squire of Tarmon,"<strong>End of Turn:</strong> If a friendly unit died in this Lane, place a +1/+1 counter on any unit in any Lane.",,,Oscar Katz,5-16
1,3,3,Knights,"Sir Robilus, the Pure",Cannot be recruited into a Lane that contains a Peasant.,,,Oscar Katz,5-17
1,4,3,Knights,"Sir Fontaine, the Remorseful","After an enemy unit dies in this unit's Lane, destroy this unit.",,,Oscar Katz,5-18
1,4,1,Knights,"Sir Gawain, the Brave",{attacksLast:Attacks Last.}<br>,,,Oscar Katz,5-19
6,0,2,Pirates,Deckhand,,,Starting,Oscar Katz,6-1
1,0,0,Pirates,Man o'War,"{attacksFirst:Attacks First.}<br> <strong>On Recruit:</strong> Gains three +1/+1 counters.<br><strong>End of Turn:</strong> If this attacked this turn, remove a +1/+1 counter from it then you must move this to a different Lane.",,Ship,Oscar Katz,6-2
2,0,0,Pirates,Galleon,"<strong>On Recruit:</strong> Gains two +1/+1 counters.<br><strong>End of Turn:</strong> If this attacked this turn, remove a +1/+1 counter from it and put a Deckhand in a different Lane.",,Ship,Oscar Katz,6-3
2,0,0,Pirates,Caravel,"<strong>On Recruit:</strong> Gains two +1/+1 counters.<br><strong>End of Turn:</strong> If this attacked this turn, remove a +1/+1 counter from it. Then place a +1/+1 counter on another unit in any Lane.",,,Oscar Katz,6-4
1,?,0,Pirates,Fire Cannons!,{action:Action}<br> This Lane attacks this turn. This card has Attack Power equal to the number of enemy units in this Lane.,Action,Ship,Oscar Katz,6-5
1,1,2,Pirates,Captain Huque,"<strong>On Recruit:</strong> You may remove three +1/+1 counters from friendly units. If you do, deal 1 damage to every enemy unit in all Lanes.",,,Oscar Katz,6-6
2,0,1,Pirates,Grog Hauler,<strong>On Recruit:</strong> Place two +1/+1 counters on a friendly unit in this Lane.,,,Oscar Katz,6-7
1,0,3,Pirates,Locked Treasure Chest,"<em>- Unlock Chest -</em><br>Instead of playing a card on your turn, you may discard this unit to distribute three +1/+1 counters among your units.<br>Act as if this was the Lane you played a card into this turn for the combat phase and do not draw a card this turn.",,,Oscar Katz,6-8
1,1,2,Pirates,Able Crewman,"When you play a unit into this Lane, this gains a +1/+1 counter (does not trigger on itself).",,,Oscar Katz,6-9
1,0,0,Pirates,Hook Line,{action:Action}<br> Choose an enemy unit in this Lane and move it to your side of the Lane.,Action,,Oscar Katz,6-10
2,1,2,Pirates,Plunderer,"<strong>On Recruit:</strong> Remove a +1/+1 counter from an enemy unit in this Lane if possible, then this gains a +1/+1 counter.",,,Oscar Katz,6-11
1,1,1,Pirates,Quartermaster,<strong>On Recruit:</strong> Gains a +1/+1 counter.<br><strong>End of Turn:</strong> May move a +1/+1 counter from any friendly unit to any other friendly unit.,,,Oscar Katz,6-12
1,0,0,Pirates,Double Barrel,"{attacksLast:Attacks Last.}<br> Attacks all Lanes except this Lane.<br><strong>On Recruit:</strong> Gains two +1/+1 counters.<br><strong>End of Turn:</strong> If this attacked this turn, remove a +1/+1 counter from it ",,,Oscar Katz,6-13
6,0,2,Assassins,Apprentice,,,Starting,Brendan Head,7-1
2,0,1,Assassins,Dagger Stab,<strong>On Recruit:</strong> Deal 1 damage in this Lane.<br><br><strong>End of Turn:</strong> Deal 1 damage in this Lane.,,,Brendan Head,7-2
2,0,1,Assassins,Ninja,Attacks First while this has +1/+1 counters on it<br><br><strong>On Recruit:</strong> Gains two +1/+1 counters.,,,Brendan Head,7-3
1,1,1,Assassins,Saboteur,<strong>On Recruit:</strong> Place top card from enemy discard pile into this Lane (Place 1 enemy basic starting unit if enemy discard pile is empty).,,,Brendan Head,7-4
1,1,2,Assassins,Samurai,<strong>On Recruit:</strong> Lose 2 HP and put 1 Apprentice in the other 2 Lanes.,,,Brendan Head,7-5
2,1,2,Assassins,Swordmaster,{attacksLast:Attacks Last.}<br> Attacks all Lanes.,,,Brendan Head,7-6
2,2,1,Assassins,Assassin,"Attacks First, and then Attacks again normally after.",,,Brendan Head,7-7
1,2,2,Assassins,Flashbang,<strong>On Recruit:</strong> May move friendly units in this Lane to other Lanes.,,,Brendan Head,7-8
2,2,2,Assassins,Shadow Stealther,"<strong>On Recruit:</strong> This unit takes no damage this turn (when assigning damage, treat it as though it did not exist).",,,Brendan Head,7-9
2,2,2,Assassins,Soother,<strong>End of Turn:</strong> Heal 1 damage on itself.,,,Brendan Head,7-10
2,2,2,Assassins,Spy,{attacksFirst:Attacks First.}<br><br>Attacks the Lane to the right of itself from owner's perspective.,,,Brendan Head,7-11
1,3,2,Assassins,Sensei,<strong>On Recruit:</strong> May move any 1 enemy unit to a different Lane ,,,Brendan Head,7-12
6,0,2,Engineers,Energy Barricade,,,Starting,Brendan Head,8-1
1,1,1,Engineers,Fuel Injector,Attacks First while this has +1/+1 counters on it<br><br><strong>On Recruit:</strong> Gains a +1/+1 counter.,,,Brendan Head,8-2
1,2,2,Engineers,Flash Grenade,<strong>On Recruit:</strong> May move friendly units in this Lane to other Lanes.,,,Brendan Head,8-3
1,0,1,Engineers,Mini Sentry,<strong>On Recruit:</strong> Deal 1 Attack damage in this Lane.<br><br><strong>End of Turn:</strong> Deal 1 Attack damage in this Lane.,,,Brendan Head,8-4
1,2,2,Engineers,Warp Drive,<strong>On Recruit:</strong> May move any 1 enemy unit to a different Lane.,,,Brendan Head,8-5
2,0,1,Engineers,Ammo Cache,<strong>On Recruit:</strong> Take two +1/+1 counters. Place each on a different friendly unit.,,,Brendan Head,8-6
2,0,1,Engineers,Auto-Turret,"<strong>On Recruit:</strong> Attacks this turn.<br><br><strong>Start of Combat:</strong> If this is attacking this turn, it gains a +1/+1 counter.",,,Brendan Head,8-7
1,1,2,Engineers,Teleporter,"Attacks First, then may move to another Lane and Attack again normally.",,,Brendan Head,8-8
1,1,2,Engineers,Full-Auto Drone,"<strong>On Recruit:</strong> Gains a +1/+1 counter.<br><br><strong>Start of Combat:</strong> If this is attacking, you may remove a +1/+1 counter from it. If you do, this turn it Attacks First, then Attacks again normally, then Attacks again Last.",,,Brendan Head,8-9
2,1,3,Engineers,Super Mech,{attacksLast:Attacks Last.}<br> Attacks any 2 different Lanes.,,,Brendan Head,8-10
1,1,2,Engineers,Battery,"<strong>End of Turn:</strong> Choose either<br>- Place an Energy Barricade in a different Lane.<br>- A friendly unit not in this Lane gains a +1/+1 counter, then place a damage token on any friendly unit not in this Lane.",,,Brendan Head,8-11
1,0,0,Engineers,Distributor Relay,<strong>On Recruit:</strong> Gains three +1/+1 counters.<br><strong>End of Turn:</strong> May move a +1/+1 counter from this to a friendly unit in a different Lane.,,,Brendan Head,8-12
1,2,1,Engineers,Phasing Ray,"Once per turn, negate 1 point of incoming enemy Attack damage in this Lane.",,,Brendan Head,8-13
1,1,0,Engineers,Targeting Computer,"{action:Action}<br> This Lane attacks this turn, no other friendly Lanes attack this turn. Units in this Lane can attack any Lane this turn.",Action,,Brendan Head,8-14
1,0,2,Beast Masters,Baby Mammal,,,"Mammal, Starting",Brendan Head,9-1
4,0,2,Beast Masters,Baby Dinosaur,,,Dinosaur,Brendan Head,9-2
1,0,2,Beast Masters,Baby Fish,,,Aquatic,Brendan Head,9-3
1,0,2,Beast Masters,Killer Crab,"When this attacks, choose an enemy unit in the same Lane. That unit does not Attack this turn. <br><strong>End of Turn:</strong> If you have two or more Aquatic units, one of them gains a +1/+1 counter (this effect only triggers once for all Aquatic units).",,Aquatic,Brendan Head,9-4
2,0,2,Beast Masters,Piranha Swarm,"{attacksFirst:Attacks First.}<br>  <br><strong>End of Turn:</strong> If you have two or more Aquatic units, one of them gains a +1/+1 counter (this effect only triggers once for all Aquatic units).",,Aquatic,Brendan Head,9-5
2,0,1,Beast Masters,Velociraptor,"{attacksFirst:Attacks First.}<br> <strong>On Recruit:</strong> Gains two +1/+1 counters. After attacking, may sacrifice a +1/+1 counter to attack again normally.",,Dinosaur,Brendan Head,9-6
1,0,1,Beast Masters,Woolly Mammoth,"<strong>On Recruit:</strong> Gains two +1/+1 counters (If you have another Mammal in a different Lane, gain three +1/+1 counters instead).",,Mammal,Brendan Head,9-7
2,1,3,Beast Masters,Diplodocus,"<strong>On Recruit:</strong> If you have another Dinosaur in the same Lane, place a Baby Dinosaur unit with +1/+1 counter on it in this Lane.",,Dinosaur,Brendan Head,9-8
1,1,2,Beast Masters,Saber Tooth Tiger,"<strong>End of Turn:</strong> May move a +1/+1 counter from another unit in a different Lane onto this. If the unit you moved it from was a Mammal, place another +1/+1 counter on this.",,Mammal,Brendan Head,9-9
1,2,3,Beast Masters,Alien Shapeshifter,"This unit has every animal Type (Dinosaur, Mammal and Aquatic)",,All,Brendan Head,9-10
2,2,2,Beast Masters,Big Bear,"<strong>On Recruit:</strong> Place +1/+1 counter on another unit in a different Lane. If the unit you placed it on was a Mammal, place two +1/+1 counters instead.",,Mammal,Brendan Head,9-11
1,2,2,Beast Masters,Megalodon,"<strong>On Recruit:</strong> May discard another Aquatic unit in any Lane to put two +1/+1 counters on this. <br><strong>End of Turn:</strong> If you have two or more Aquatic units, one of them gains a +1/+1 counter (this effect only triggers once for all Aquatic units).",,Aquatic,Brendan Head,9-12
1,2,2,Beast Masters,Mysterious Egg,"{action:Action}<br> Choose an animal type (Dinosaur, Mammal or Aquatic). This becomes a unit of that type and causes this Lane to attack. <br> <strong>End of Turn:</strong> After all other effects, this is discarded.",Action,?,Brendan Head,9-13
1,3,2,Beast Masters,Kong,"{attacksLast:Attacks Last.}<br> <strong>On Recruit:</strong> If you have another Mammal in a different Lane, this gains a +1/1 counter.",,Mammal,Brendan Head,9-14
1,3,2,Beast Masters,Kraken,"<strong>On Recruit:</strong> Removes a +1/+1 counter from an Enemy unit in any Lane. <br><strong>End of Turn:</strong> If you have two or more Aquatic units, one of them gains a +1/+1 counter (this effect only triggers once for all Aquatic units).",,Aquatic,Brendan Head,9-15
1,3,3,Beast Masters,Pterodactyl,"<strong>End of Turn:</strong> Puts a +1/+1 counter on any other unit, then takes 1 damage.",,Dinosaur,Brendan Head,9-16
1,4,1,Beast Masters,T-Rex,"{attacksLast:Attacks Last.}<br> <strong>On Recruit:</strong> If you have another Dinosaur in the same Lane, place a Baby Dinosaur unit with +1/+1 counter on it in this Lane.",,Dinosaur,Brendan Head,9-17
6,0,2,Bards,Audience Member,,,Starting,Brendan Head,10-1
1,0,4,Bards,Trumpet,All units in this Lane gain +1 to their Attack Power when attacking.,,War Chant,Brendan Head,10-2
1,1,3,Bards,Giant Radio,,,Soothing Lullaby,Brendan Head,10-3
1,1,3,Bards,Jukebox,<strong>On Recruit:</strong> You may change the current Song to any other Song.,,,Brendan Head,10-4
1,1,2,Bards,Kickstart,{attacksFirst:Attacks First.}<br> All units in this Lane Attack First.,,Rousing Jig,Brendan Head,10-5
1,1,2,Bards,Long Horn,Attacks all Lanes.,,War Chant,Brendan Head,10-6
2,1,2,Bards,Ocarina,<strong>On Recruit:</strong> Heal all damage in this Lane and 1 damage in a different Lane.,,Soothing Lullaby,Brendan Head,10-7
2,2,2,Bards,Accordion,"{attacksLast:Attacks Last.}<br> If this has a +1/+1 counter on it, this Attacks First instead.",,Rousing Jig,Brendan Head,10-8
1,2,2,Bards,Bassist,<strong>On Recruit:</strong> All units with +1/+1 counters that are in different Lanes to this gain an additional +1/+1 counter.,,Rousing Jig,Brendan Head,10-9
2,2,2,Bards,Loudspeaker,<strong>On Recruit:</strong> Immediately trigger the effect of the current Song (Choose a Song to be the current Song if there currently is none).,,,Brendan Head,10-10
1,2,2,Bards,Streaming,<strong>On Recruit:</strong> Heal 1 HP. <br><strong>End of Turn:</strong> Heal 1 HP.,,Soothing Lullaby,Brendan Head,10-11
2,2,2,Bards,War Drum,{attacksFirst:Attacks First.}<br>,,War Chant,Brendan Head,10-12
1,3,1,Bards,Bagpipes,,,War Chant,Brendan Head,10-13
1,3,1,Bards,Wooden Flute,Attacks all Lanes but its own. Then deals 1 friendly damage to this Lane.,,Soothing Lullaby,Brendan Head,10-14
1,4,1,Bards,Guitarist,{attacksLast:Attacks Last.}<br> <strong>On Recruit:</strong> Gain 2 Audience Members. Put them in any Lanes in any combination.,,Rousing Jig,Brendan Head,10-15
6,0,2,Circadials,Circadial Worshipper,,,Starting,Brendan Head,11-1
1,0,0,Circadials,Divine Intervention,"{action:Action}<br> Draw 1 unit card, then play another card this Turn into any Lane. Act as if you had only played the other card during combat. ",,,Brendan Head,11-2
1,1,3,Circadials,Celestial Deity,{action:Action}<br> <strong>If it is Day:</strong> Gain 1 HP and distribute two +1/+1 counters among any units.<br><strong>If it is Night:</strong> Opponent loses 1 HP and you may destroy an enemy unit in any Lane.,,,Brendan Head,11-3
1,1,0,Circadials,Eclipse,{action:Action}<br> This Lane attacks this turn. Choose whether each unit in this Lane thinks it is Day or Night.,Action,,Brendan Head,11-4
1,1,1,Circadials,Grand Vision,<strong>On Recruit:</strong> Attacks this turn. Place a +1/+1 counter on itself and all units in same Lane.,,,Brendan Head,11-5
2,1,3,Circadials,Moon Blade,Attacks First at Night. Attacks Last during the Day.,,,Brendan Head,11-6
2,1,3,Circadials,Solar Healing Rays,"<strong>End of Turn:</strong> If it is Day, heal 1 HP.",,,Brendan Head,11-7
2,2,3,Circadials,Flaming Torch,Attacks all Lanes except this one during the Day. Attacks this Lane at Night.,,,Brendan Head,11-8
2,2,2,Circadials,Helios Herald,Attacks Twice during the Day.,,,Brendan Head,11-9
2,2,4,Circadials,Plant Minion,"<strong>End of Turn:</strong> If is Night, this takes 1 damage. ",,,Brendan Head,11-10
2,2,1,Circadials,Werewolf Warrior,"<strong>On Recruit:</strong> If it is Night, gains two +1/+1 counters.",,,Brendan Head,11-11
2,3,3,Circadials,Lunar Shield,Only blocks damage if it is Night. Only attacks if it is Day.,,,Brendan Head,11-12
6,0,2,CryoVikings,Raider,,,Starting,Oscar Katz,12-1
3,0,4,CryoVikings,Berserker,This has +1 Attack Power for each damage token on it.,,,Oscar Katz,12-2
1,0,1,CryoVikings,Jarl Tolva,"<strong>On Recruit:</strong> For each Lane, place a +1/+1 counter on a Raider in that lane (or put a Raider in that Lane if there are none).",,,Oscar Katz,12-3
2,0,4,CryoVikings,Shieldmaiden,"If a damage token would be placed on any friendly unit in any Lane, you may place it on this instead.",,,Oscar Katz,12-4
3,1,2,CryoVikings,Attack Wolf,{attacksFirst:Attacks First.}<br> <strong>On Recruit:</strong> Attacks this turn,,,Oscar Katz,12-5
1,1,1,CryoVikings,Ragnar Brumalssen,<strong>On Recruit:</strong> Enemy units in this Lane do not attack this turn.,,,Oscar Katz,12-6
2,1,3,CryoVikings,Raiding Ship,<strong>End of Turn:</strong> You may move any friendly unit (including this one) from this Lane into a different Lane.,,,Oscar Katz,12-7
2,1,1,CryoVikings,Sage of Bitter Cold,<strong>On Recruit:</strong> Deal 1 damage to each enemy unit in this Lane,,,Oscar Katz,12-8
2,1,1,CryoVikings,Sage of Bracing Cold,<strong>On Recruit:</strong> Deal 1 damage to each other friendly unit in this Lane. Place a +1/+1 counter on any that survived.,,,Oscar Katz,12-9
1,1,3,CryoVikings,Spirit of the Honoured Dead,"<strong>On Recruit:</strong> You may destroy a friendly unit in any Lane. If you do, distribute +1/+1 counters among friendly units equal to 1 plus the number of damage tokens it had.",,,Oscar Katz,12-10
1,1,3,CryoVikings,Spirit of the Vengeful Dead,"<strong>On Recruit:</strong> You may destroy a friendly unit in any Lane. If you do, distribute damage tokens among enemy units equal to 1 plus the number of damage tokens it had.",,,Oscar Katz,12-11
6,0,2,Pyromancers,Ember Spark,,,Starting,Oscar Katz,13-1
1,0,0,Pyromancers,Ash Cloud,{action:Action}<br> Lose 2 HP. Enemy attacks do not occur this turn in any Lane.,Action,,Oscar Katz,13-2
2,0,1,Pyromancers,Phoenix Egg,"<strong>On Recruit:</strong> Place an Ember Spark in a different Lane. <strong>On Death:</strong> Reveal the top card of your deck, play it in this Lane.",,,Oscar Katz,13-3
1,0,1,Pyromancers,Unstable Flamesprite,"After this card has been revealed, when a card is played in this Lane by anyone, destroy this card and all cards played into this Lane this turn.",,,Oscar Katz,13-4
2,1,2,Pyromancers,Fire Storm,{attacksLast:Attacks Last.}<br> This has +1 Attack Power for each friendly unit in this Lane.,,,Oscar Katz,13-5
2,1,3,Pyromancers,Hot-shot Pyrosniper,<strong>On Recruit:</strong> Deal 1 damage to an enemy unit of your choice in this Lane (or opponent HP if there are no units),,,Oscar Katz,13-6
1,1,2,Pyromancers,Immolation Engine,"<strong>End of Turn:</strong> Place a +1/+1 counter on this unit.<br><br>If this unit ever has 5 or more +1/+1 counters, you immediately win the Battle.",,,Oscar Katz,13-7
2,1,1,Pyromancers,Realmfire Initiate,Attacks all Lanes.,,,Oscar Katz,13-8
2,2,3,Pyromancers,Conflagrenadier,,,,Oscar Katz,13-9
2,2,2,Pyromancers,Spitfire Drake,Attacks First,,,Oscar Katz,13-10
2,2,2,Pyromancers,Student of Spitefire,"<strong>On Death:</strong> Deal 2 damage to this Lane, you decide which unit(s) the damage should be dealt to.",,,Oscar Katz,13-11
1,4,4,Pyromancers,"Rama'thul, Flame That Devours Time","<strong>On Recruit:</strong> Attacks this Turn.<br><br>While this unit is in play, you no longer draw cards at Start of Turn.",,,Oscar Katz,13-12
6,0,2,Elementalists,Earth Wall,,,Starting,,14-1
1,1,2,Elementalists,Ice Minion,<strong><strong>On Recruit:</strong></strong> Gains a +1/+1 counter if you are attuned to Water this turn.<br><br><strong><strong>Start of Turn:</strong></strong> Gains a +1/+1 counter if you attune to Water this turn.,,,Brendan Head,14-2
1,1,2,Elementalists,Flame Minion,<strong><strong>On Recruit:</strong></strong> Gains a +1/+1 counter if you are attuned to Fire this turn.<br><br><strong><strong>Start of Turn:</strong></strong> Gains a +1/+1 counter if you attune to Fire this turn.,,,Brendan Head,14-3
1,1,2,Elementalists,Rock Minion,<strong><strong>On Recruit:</strong></strong> Gains a +1/+1 counter if you are attuned to Earth this turn.<br><br><strong><strong>Start of Turn:</strong></strong> Gains a +1/+1 counter if you attune to Earth this turn.,,,Brendan Head,14-4
1,2,1,Elementalists,Meteor Staff,{attacksLast:{attacksLast:Attacks Last.}<br>}<br><br><strong><strong>On Recruit:</strong></strong> Deal 1 Attack damage to all Lanes.,,,Brendan Head,14-5
2,1,3,Elementalists,Stone Shield,"<strong><strong>End of Turn:</strong></strong> Place a +1/+1 counter on an Earth Wall in any Lane (if you have none, place an Earth Wall in any Lane).",,,Brendan Head,14-6
2,1,2,Elementalists,Focusing Ring,<strong><strong>On Recruit:</strong></strong> Attacks this turn.<br>Repeat the effect of your attuned element from this turn.,,,Brendan Head,14-7
1,1,2,Elementalists,Attuning Crystal,<strong><strong>End of Turn:</strong></strong> You may attune to a different element. Resolve its effect immediately.,,,Brendan Head,14-8
2,1,2,Elementalists,Cold Spike,{attacksFirst:{attacksFirst:Attacks First.}<br>}<br><br>This has 2 additional Attack Power if you are attuned to Water or Earth.,,,Brendan Head,14-9
